Subject,Class
[Pre-Flare 2019]: DEBSOC: Invitation to Tark-Vitark!,Ham
Talk on 'Power of Habits' at PDPU,Ham
MRIQ - 18,Ham
InfyTQ: A Learning and Engagement App for Engineering Students in India,Ham
[Offbeat] : SING. SHARE. LIKE.,Ham
 Data Mining Course Project Presentation,Ham
[Pre-Flare 2019] : Belly Dance Workshop,Ham
Things To Do In Gandhinagar This Weekend,Ham
IT requirements and set up,Ham
[Pre-Flare 2019] : Box Cricket,Ham
Circular,Ham
Oli and Gas startup Initiative Roadshow,Ham
SOLVIER : Case Study Solving Competition,Ham
VOLLEYBALL|| INTRA,Ham
Fully Funded Graduate Student Opportunities at Khalifa University,Ham
13 foreign currencies are just a click away! Apply for a Kotak Forex Card,Ham
 InfyTQ: A Learning and Engagement App for Engineering Students in India,Ham
"PDPU Students @ WORKSHOP : DO IT YOUR SELF : SOCIAL MEDIA MARKETING | FRIDAY, 26 APRIL 2019 | 1000 TO 1700 HRS | AHMEDABAD",Ham
"Two Day National Workshop on Urban Governance and Smart Cities in India: Challenges and Prospects” 24th and 25th April, 2019.",Ham
 Start Your Career in VLSI Digital Design & Verification,Ham
Submit Resume Now,Ham
Recommended: Machine Learning,Ham
Enrich your life in no time. Take a short tech or professional course this afternoon,Ham
"Germany Admissions: TU Berlin, TU Munich, RWTH Aachen universities",Ham
Ambani's bet on India's rising middle class is paying off| Flipkart CEO Krishnamurthy denies exit| Samsung rapped for not passing GST benefits,Ham
Weekend Data Science Reads,Ham
Tips for profiles with LOW GPA or BACKLOGS! ,Ham
Aditya's Stanford profile ,Ham
"New announcement: ""additional files for topics covered """,Ham
"Discrepancy in name
",Ham
Regarding Internship,Ham
Electric PLAN-Model,Ham
Internship application,Ham
Lab Manual,Ham
Assignment Submission,Ham
"Forethought Future Cup - Elimination Round (rated, open for everyone)!",Ham
"15 Hour Reminder: TCO19 Algorithm Round 1A
",Ham
"Sally Ride honored; climate action; Mueller Report; scientists speak up
",Ham
"[swapagarwal/swag-for-dev] Wild swag opportunity appeared: Free Software Foundation Europe (#271)
",Ham
"You have missed messages in Talent Social team on Flock
",Ham
"Today is your lucky day! GRE gift inside.
",Ham
"Welcome to Ubisoft
",Ham
"Summer Training with GeeksforGeeks
",Ham
"Interview Preparation problems for you
",Ham
"You have successfully registered for GRE WORD-WIzard Challenge 2019
",Ham
"Speak at the first TensorFlow World
",Ham
"Data Science Now! - Issue #3
",Ham
"Just in time! The trick to a faster job search
",Ham
"Update on your application for Back End Developer : Java at Evolet Technologies
",Ham
New Job Openings at https://jobs.cisco.com/jobs?uid=lBDyb7fxWJeU3Edy!,Ham
"Summer batches early bird ending this sunday
",Ham
"Are You an Alexa Developer? Amazon Alexa Invites You For Code Gladiators Amazon Alexa Skills Challenge
",Ham
"The Game Changer has arrived big time!
",Ham
"Welcome to HackEDU! [Action Required]
",Ham
"Invitation: Exclusive Data+Web Event at edWisor This Saturday
",Ham
"Thank you for applying to Amazon
",Ham
"Your contest joining is confirmed!
",Ham
"Thank you for your application to MindTickle
",Ham
"Code Jam Qualification Round - Halfway Through!
",Ham
"GSoC 2019: Only 3.5 days remain to submit Final PDF Proposal & Proof of Enrollment
",Ham
"Data Science Now! Building a Knowledge-Graph -- Issue #2
",Ham
"SpringRole is hiring in Bengaluru. Apply Now.
",Ham
"It wouldn't be possible without YOU!
",Ham
"“ES5 to ESNext — here’s every feature added to JavaScript since 2015” published in freeCodeCamp.org by Flavio Copes
",Ham
"Welcome to Copyleaks
",Ham
"Register for TCS's Quality Engineering Contest
",Ham
"An Education for a High-Growth Computer Science Career
",Ham
"DWDM-data warehouse video
",Ham
"Register for EnQuode 2019
",Ham
"Fwd: Summer Internship with Industrial Training Program on AI | Machine Learning | IoT | Augmented Reality | BigData Hadoop | Cloud | Deep learning at LinuxWorld Informatics Pvt Ltd
",Ham
"Fwd: mtech ce data mining university question paper
",Ham
